Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
DERIM,54.8,50.9,✅,✅,✅,99.8,✅,🟢
MRSHL,53.6,51.0,❌,❌,❌,98.8,✅,—
OYAKC,53.3,51.0,✅,✅,✅,95.4,✅,🟢
GSRAY,35.1,51.2,✅,✅,✅,26.6,❌,—
TARKM,,51.2,✅,❌,✅,92.2,❌,—
BORSK,,51.3,✅,✅,✅,-163.8,❌,—
DNISI,52.7,51.4,✅,✅,✅,99.2,✅,🟢
AKSA,56.6,51.4,❌,❌,❌,99.5,✅,—
BRKO,55.9,51.5,❌,✅,❌,98.4,✅,—
GUBRF,60.3,51.5,✅,✅,✅,98.3,✅,🟢
BOSSA,52.5,51.6,❌,✅,❌,99.8,✅,—
BSOKE,58.1,51.7,❌,❌,❌,99.5,✅,—
GEDIK,59.8,51.9,✅,❌,✅,96.5,✅,—
AKSEN,68.8,52.0,❌,❌,❌,96.5,✅,—
DGATE,63.0,52.0,❌,❌,❌,99.9,✅,—
SEGMN,,52.0,❌,❌,❌,99.3,✅,—
RNPOL,61.6,52.1,❌,✅,❌,85.0,❌,—
AKFYE,59.8,52.1,✅,❌,✅,-3117.2,❌,—
GOZDE,52.3,52.2,✅,❌,✅,99.7,✅,—
TABGD,60.7,52.3,❌,✅,❌,96.4,✅,—
RYSAS,65.5,52.3,❌,❌,❌,99.9,✅,—
OZRDN,68.4,52.3,✅,❌,✅,96.2,✅,—
OSMEN,37.6,52.4,✅,✅,✅,68.7,❌,—
CWENE,63.5,52.5,✅,❌,✅,84.0,❌,—
SANEL,66.9,52.6,❌,❌,❌,95.4,✅,—
BINBN,,52.6,✅,✅,✅,100.0,✅,🟢
AGESA,68.0,52.8,❌,❌,❌,98.1,✅,—
DOKTA,50.6,52.9,✅,✅,✅,99.8,✅,🟢
BLUME,56.9,52.9,✅,✅,✅,97.9,✅,🟢
EGEPO,73.0,53.0,❌,❌,❌,98.2,✅,—
MACKO,56.6,53.1,✅,✅,✅,77.5,❌,—
YEOTK,64.2,53.1,❌,❌,❌,98.2,✅,—
HOROZ,,53.2,✅,✅,✅,100.0,✅,🟢
ISFIN,60.9,53.3,❌,✅,❌,100.0,✅,—
ULUSE,60.2,53.4,❌,❌,❌,99.2,✅,—
BYDNR,62.6,53.5,❌,❌,❌,92.3,❌,—
TKNSA,47.5,53.6,✅,✅,✅,96.6,✅,🟢
ECOGR,,53.8,✅,❌,✅,-145.1,❌,—
EPLAS,51.8,53.8,✅,✅,✅,93.0,❌,—
