build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GEDIK,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,6.35,6.72,6.12,6.72,Sonraki haftalık kapanış > 6.72,6.12,6.12 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GEDZA,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,27.92,29.68,26.98,29.68,Sonraki haftalık kapanış > 29.68,26.98,26.98 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GLBMD,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.7,12.75,11.6,12.75,Sonraki haftalık kapanış > 12.75,11.6,11.60 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HOROZ,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,55.55,60.55,54.45,60.55,Sonraki haftalık kapanış > 60.55,54.45,54.45 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,IHEVA,HAFTALIK,Piercing,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.02,2.09,1.91,2.09,Sonraki haftalık kapanış > 2.09,1.91,1.91 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,IHYAY,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,1.26,1.35,1.21,1.35,Sonraki haftalık kapanış > 1.35,1.21,1.21 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ISSEN,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,6.95,7.57,6.7,7.57,Sonraki haftalık kapanış > 7.57,6.7,6.70 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KLKIM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,25.56,27.48,24.88,27.48,Sonraki haftalık kapanış > 27.48,24.88,24.88 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KRVGD,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.44,2.67,2.27,2.67,Sonraki haftalık kapanış > 2.67,2.27,2.27 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KSTUR,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2595.0,2712.5,2436.0,2712.5,Sonraki haftalık kapanış > 2712.50,2436.0,2436.00 altı formasyonu bozar
