build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVOD,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,3.74,4.68,3.67,4.68,Sonraki aylık kapanış > 4.68,3.67,3.67 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BALAT,AYLIK,Piercing,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,72.1,81.85,58.8,81.85,Sonraki aylık kapanış > 81.85,58.8,58.80 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CMBTN,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,1530.0,1953.0,1525.0,1953.0,Sonraki aylık kapanış > 1953.00,1525.0,1525.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DESPC,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,39.78,58.05,39.24,58.05,Sonraki aylık kapanış > 58.05,39.24,39.24 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ENSRI,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,5.48,7.28,5.4,7.28,Sonraki aylık kapanış > 7.28,5.4,5.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GATEG,AYLIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,290.0,320.0,251.25,320.0,Sonraki aylık kapanış > 320.00,251.25,251.25 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HDFGS,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,2.61,3.19,2.38,3.19,Sonraki aylık kapanış > 3.19,2.38,2.38 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MAVI,AYLIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,39.14,45.1,37.44,45.1,Sonraki aylık kapanış > 45.10,37.44,37.44 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,NUHCM,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,216.5,241.0,215.6,241.0,Sonraki aylık kapanış > 241.00,215.6,215.60 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ONCSM,AYLIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,252.75,308.0,236.1,308.0,Sonraki aylık kapanış > 308.00,236.1,236.10 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,OTTO,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,178.1,203.7,166.7,203.7,Sonraki aylık kapanış > 203.70,166.7,166.70 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,QNBTR,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,197.7,235.0,197.7,235.0,Sonraki aylık kapanış > 235.00,197.7,197.70 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SONME,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,118.5,135.8,118.5,135.8,Sonraki aylık kapanış > 135.80,118.5,118.50 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TRENJ,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,90.95,108.5,85.5,108.5,Sonraki aylık kapanış > 108.50,85.5,85.50 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TSPOR,AYLIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,0.93,1.03,0.89,1.03,Sonraki aylık kapanış > 1.03,0.89,0.89 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,VKFYO,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,23.82,31.38,23.56,31.38,Sonraki aylık kapanış > 31.38,23.56,23.56 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DMRGD,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,11.7,14.03,11.26,11.26,Tek başına sinyal değil; izleme,14.03,14.03 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EUPWR,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,85.85,108.6,81.65,81.65,Tek başına sinyal değil; izleme,108.6,108.60 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GSDDE,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,12.09,16.05,11.95,11.95,Tek başına sinyal değil; izleme,16.05,16.05 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ICUGS,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,5.45,6.56,5.21,5.21,Tek başına sinyal değil; izleme,6.56,6.56 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,INFO,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,5.9,8.92,5.72,5.72,Tek başına sinyal değil; izleme,8.92,8.92 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PETKM,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,19.01,23.2,18.64,18.64,Tek başına sinyal değil; izleme,23.2,23.20 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,VBTYZ,AYLIK,Gravestone Doji,C,AYI,İZLE,2026-07-31,,29.68,35.06,27.84,27.84,Tek başına sinyal değil; izleme,35.06,35.06 üstü formasyonu bozar
